"","x","y","intensity","area","id","color","acronym","right.left","rostral.caudal","anterior.posterior"
"1",709.962,68.29795,2462.5,2462.5,NA,"#000000",NA,277.945098943185,25.8660483637524,295
"2",838.032,68.55665,1782.5,1782.5,NA,"#000000",NA,284.448759999373,34.3703897496992,295
"3",674.2995,81.74885,2447.5,2447.5,NA,"#000000",NA,275.542455868141,24.2599577571972,295
"4",869.813,82.4197,3256.5,3256.5,NA,"#000000",NA,285.461905294948,37.2917514212517,295
"5",594.485,100.9318,2965,2965,NA,"#000000",NA,269.732243288053,18.7882647281868,295
"6",551.027,103.87945,3818.5,3818.5,NA,"#000000",NA,266.297402249815,14.6520308170218,295
"7",891.231,104.6545,1409.5,1409.5,NA,"#000000",NA,285.562953617628,40.2725689833259,295
"8",864.6685,108.6996,1062,1062,NA,"#000000",NA,284.226923266462,38.7535792922871,295
"9",928.34,107.08935,4023,4023,NA,"#000000",NA,287.052039395762,42.2525663083685,295
"10",633.586,111.7163,2812,2812,NA,"#000000",NA,272.295052987382,23.7725374976541,295
"11",762.559,109.5414,1739.5,1739.5,NA,"#000000",NA,279.563248733461,33.2722246815208,295
"12",807.041,108.94065,1786,1786,NA,"#000000",NA,281.563150361517,35.7723476464512,295
"13",907.5015,122.8266,1656.5,1656.5,NA,"#000000",NA,285.555840920943,42.2549621374528,295
"14",744.8195,124.68785,1231,1231,NA,"#000000",NA,278.063322512419,33.2722246815208,295
"15",972.2085,119.35485,2569.5,2569.5,NA,"#000000",NA,288.385212111936,45.1074553587835,295
"16",847.2225,120.0385,2391,2391,NA,"#000000",NA,283.128664842544,38.7918503672858,295
"17",713.5315,129.2534,2633,2633,NA,"#000000",NA,276.293753231944,30.7888395797755,295
"18",788.2,132.6356,1865.5,1865.5,NA,"#000000",NA,280.063224140475,36.2723722394372,295
"19",522.055,136.79045,2806,2806,NA,"#000000",NA,263.064060302002,14.7713147410358,295
"20",819.6355,140.52355,1963.5,1963.5,NA,"#000000",NA,281.136406647315,38.7727467960833,295
"21",844.2635,142.1684,1097,1097,NA,"#000000",NA,282.220520949821,40.0659838830528,295
"22",644.493,143.55845,1667.5,1667.5,NA,"#000000",NA,272.063617628252,27.2719295656878,295
"23",885.1045,140.1143,1907.5,1907.5,NA,"#000000",NA,284.027330461485,42.2382895058701,295
"24",672.8755,146.73625,3387,3387,NA,"#000000",NA,273.563543849294,29.7720525306182,295
"25",487.3553,148.4435,1729.5,1729.5,NA,"#000000",NA,259.314244749398,11.0211302936402,295
"26",613.216,145.1505,3096,3096,NA,"#000000",NA,270.063716000197,24.7718066007574,295
"27",799.604,160.59145,1517.5,1517.5,NA,"#000000",NA,279.574843805264,38.7623714981276,295
"28",568.7385,154.35985,3027.5,3027.5,NA,"#000000",NA,266.824981058435,21.3732799884427,295
"29",758.8295,156.97605,4110.5,4110.5,NA,"#000000",NA,277.943385478673,36.262470753987,295
"30",885.0155,163.28705,1947.5,1947.5,10,"#e31a1c","OT",283.213984988384,43.4669426913701,295
"31",593.125,164.87755,392,392,NA,"#000000",NA,268.327201016281,24.8768340721985,295
"32",717.938,167.80685,3365.5,3365.5,NA,"#000000",NA,275.56344547735,34.772298460479,295
"33",842.911,172.50675,3470.5,3470.5,10,"#e31a1c","OT",281.131124348049,42.2851052946632,295
"34",950.1905,167.1089,3718.5,3718.5,10,"#e31a1c","OT",285.818769215516,47.1589502195972,295
"35",616.2125,176.9105,1321,1321,NA,"#000000",NA,269.424284219008,27.7770398389202,295
"36",509.234,176.2352,3486.5,3486.5,NA,"#000000",NA,261.56413408096,17.2714377059662,295
"37",586.7035,183.9807,1671,1671,NA,"#000000",NA,267.563838965127,26.2718803797156,295
"38",957.532,197.7687,2084,2084,10,"#e31a1c","OT",284.98526256803,49.7467125985597,295
"39",475.21805,194.0546,4008,4008,NA,"#000000",NA,257.397672355844,13.7712655550636,295
"40",879.4735,193.9779,2012.5,2012.5,10,"#e31a1c","OT",281.924217190613,45.5189965332596,295
"41",781.6835,191.54355,3248,3248,10,"#e31a1c","OT",277.782183221882,39.7726828570707,295
"42",554.273,200.42045,2043,2043,NA,"#000000",NA,264.566133500498,23.876301656089,295
"43",583.717,203.1237,1368.5,1368.5,NA,"#000000",NA,266.783539541417,27.1403521625793,295
"44",923.589,207.1924,1959.5,1959.5,10,"#e31a1c","OT",283.402021250964,48.7469489227728,295
"45",638.9615,206.98735,1817.5,1817.5,NA,"#000000",NA,270.063716000197,31.7721509025625,295
"46",838.5995,210.7896,4494.5,4494.5,10,"#e31a1c","OT",279.578254667631,44.2481770901479,295
"47",795.288,216.9593,1518,1518,10,"#e31a1c","OT",277.717376060348,42.2779253084629,295
"48",605.961,215.9425,1574.5,1574.5,NA,"#000000",NA,267.856764840272,29.7438787276549,295
"49",528.0085,217.4366,2547.5,2547.5,NA,"#000000",NA,262.211161039649,22.7717082974192,295
"50",339.61965,225.12565,1888.5,1888.5,NA,"#000000",NA,84.5728399980326,-155.237046874232,295
"51",751.278,218.56645,3938.5,3938.5,10,"#e31a1c","OT",275.56344547735,40.2725689833259,295
"52",644.6675,232.50115,2352,2352,10,"#e31a1c","OT",269.544392724273,33.7752436655654,295
"53",716.2675,233.65275,3918,3918,10,"#e31a1c","OT",273.281366036722,38.7716013396115,295
"54",573.2805,231.86665,1425,1425,NA,"#000000",NA,265.286688487428,28.2761177656053,295
"55",899.301,229.48275,3840.5,3840.5,10,"#e31a1c","OT",281.5789082522,48.7461989860065,295
"56",547.126,243.3543,2302.5,2302.5,NA,"#000000",NA,263.067123838041,26.877926683873,295
"57",857.9715,248.28985,3865,3865,10,"#e31a1c","OT",279.303023601391,47.7470680639206,295
"58",594.4145,241.25665,1297.5,1297.5,10,"#e31a1c","OT",266.417454604166,30.7739358961441,295
"59",973.9255,242.63615,2813,2813,10,"#e31a1c","OT",284.063027396587,53.7732329939501,295
"60",938.149,244.3283,1440,1440,10,"#e31a1c","OT",282.56414108085,51.7553103644737,295
"61",797.6045,242.85495,1582,1582,10,"#e31a1c","OT",276.753509931132,44.1476638899532,295
"62",668.714,252.86485,2129,2129,10,"#e31a1c","OT",270.333877043893,37.1060111707355,295
"63",914.3565,260.7988,1431.5,1431.5,10,"#e31a1c","OT",281.183455591258,51.509566588799,295
"64",366.16755,258.35655,1431,1431,NA,"#000000",NA,106.571757906645,-138.236210712705,295
"65",580.899,264.4473,1442.5,1442.5,10,"#e31a1c","OT",265.063961930058,31.7721509025625,295
"66",496.1158,261.5671,3061.5,3061.5,NA,"#000000",NA,258.564281638877,23.2717328217991,295
"67",532.571,266.2755,1538,1538,NA,"#000000",NA,261.353922980924,27.0867495616926,295
"68",900.534,273.76105,1515,1515,10,"#e31a1c","OT",280.047795638567,51.4827729872816,295
"69",799.387,277.1569,4498,4498,10,"#e31a1c","OT",275.778528768305,46.19720582443,295
"70",971.5315,275.8129,1393.5,1393.5,10,"#e31a1c","OT",282.821093300209,54.9831247036833,295
"71",880.3655,283.77695,1878.5,1878.5,10,"#e31a1c","OT",279.026719937421,51.2491986995785,295
"72",442.98005,286.63935,3359,3359,NA,"#000000",NA,204.066962274359,-46.7317101962521,295
"73",613.7095,279.57435,4111,4111,10,"#e31a1c","OT",266.563888151099,35.2723230534651,295
"74",648.517,289.249,2101.5,2101.5,10,"#e31a1c","OT",268.153772480327,38.3836856261702,295
"75",990.4955,287.98285,1137.5,1137.5,10,"#e31a1c","OT",283.127547515725,56.69241607972,295
"76",836.825,295.30275,2658,2658,10,"#e31a1c","OT",276.79598786242,49.5209209803507,295
"77",953.409,293.81185,2070,2070,10,"#e31a1c","OT",281.563150361517,55.7733313658944,295
"78",679.585,295.1367,3763.5,3763.5,10,"#e31a1c","OT",269.550590494043,40.2727084979899,295
"79",380.50505,300.38735,1738,1738,NA,"#000000",NA,121.071044710049,-124.235522109095,295
"80",407.2205,310.066,2356,2356,NA,"#000000",NA,244.064994835473,9.2710442181889,295
"81",552.777,310.48495,1644.5,1644.5,10,"#e31a1c","OT",261.919400523815,32.2943178258099,295
"82",807.306,326.135,3730,3730,10,"#e31a1c","OT",274.53911738989,49.4872850088582,295
"83",950.208,319.11545,1791,1791,10,"#e31a1c","OT",280.563199547489,56.7733805518665,295
"84",352.8034,321.6368,1577,1577,NA,"#000000",NA,104.571856278589,-133.235964782844,295
"85",890.3195,328.1098,5279,5279,10,"#e31a1c","OT",277.961386631282,54.2475024886102,295
"86",533.037,328.78765,1969.5,1969.5,10,"#e31a1c","OT",260.045294979487,31.8792249796863,295
"87",926.017,327.16425,2249.5,2249.5,10,"#e31a1c","OT",279.241375927072,55.7376772212362,295
"88",774.626,327.84535,3193,3193,10,"#e31a1c","OT",273.108864831325,48.2727035484304,295
"89",581.2205,327.33255,2047,2047,10,"#e31a1c","OT",263.148856628477,35.8864769611643,295
"90",613.924,328.5853,2412,2412,10,"#e31a1c","OT",265.063961930058,38.2724706113816,295
"91",847.919,334.15515,2744,2744,10,"#e31a1c","OT",275.967428953204,52.2596395809141,295
"92",747.715,336.34665,1162.5,1162.5,10,"#e31a1c","OT",271.563642221239,47.272913285131,295
"93",977.269,338.69585,1774.5,1774.5,10,"#e31a1c","OT",281.063174954503,59.2735035167969,295
"94",686.8185,350.7796,2161,2161,10,"#e31a1c","OT",268.365794120406,44.2727672344367,295
"95",712.313,350.2415,896.5,896.5,10,"#e31a1c","OT",269.563740593183,46.2728640991588,295
"96",321.1373,356.1729,2584,2584,NA,"#000000",NA,89.5725940681718,-139.236259898677,295
"97",548.398,360.19285,3054,3054,10,"#e31a1c","OT",260.064207859918,35.2723230534651,295
"98",734.302,363.70515,2782,2782,10,"#e31a1c","OT",270.078136347897,47.7707630869402,295
"99",418.44575,363.74525,4477.5,4477.5,NA,"#000000",NA,247.064847277556,19.2715360779105,295
"100",391.40885,368.4623,1769.5,1769.5,NA,"#000000",NA,131.070552850327,-109.734808912498,295
"101",509.97,370.9092,2759.5,2759.5,10,"#e31a1c","OT",257.064355417835,32.7722000885347,295
"102",870.0565,375.64915,1837,1837,10,"#e31a1c","OT",275.453272609761,55.4385008635262,295
"103",365.31095,370.4805,1218,1218,NA,"#000000",NA,115.571315232896,-120.735349958192,295
"104",342.25265,373.9808,1171.5,1171.5,NA,"#000000",NA,104.071880871575,-128.235718852983,295
"105",903.377,380.3452,3954,3954,10,"#e31a1c","OT",276.627771900112,57.7468245884942,295
"106",831.8595,380.4437,1949.5,1949.5,10,"#e31a1c","OT",273.752184548119,53.6975538613042,295
"107",479.76045,383.8306,1433,1433,10,"#e31a1c","OT",254.564478382765,30.7721017165904,295
"108",696.2125,390.84005,4556,4556,10,"#e31a1c","OT",267.508379088129,47.0272683876353,295
"109",401.63115,402.8705,2264.5,2264.5,NA,"#000000",NA,243.065044021445,18.2714868919383,295
"110",363.0608,402.24845,3363,3363,NA,"#000000",NA,116.07129063991,-117.235177807289,295
"111",750.7065,398.0131,3073.5,3073.5,10,"#e31a1c","OT",269.776754094831,50.2627258511108,295
"112",322.0443,394.05465,1473,1473,NA,"#000000",NA,92.5724465102553,-133.73598937583,295
"113",239.4461,402.1797,3298.5,3298.5,NA,"#000000",NA,48.5746106930304,-156.73712065319,295
"114",785.3305,404.46315,2199,2199,10,"#e31a1c","OT",271.046790808686,52.7582675998247,295
"115",295.1559,405.68225,2093,2093,NA,"#000000",NA,78.5731351138655,-140.736333677635,295
"116",335.35695,416.4491,938.5,938.5,NA,"#000000",NA,101.072028429492,-126.235620481039,295
"117",636.6725,414.6929,1480,1480,10,"#e31a1c","OT",263.713527175799,44.7755936772804,295
"118",611.8455,409.5931,2593.5,2593.5,10,"#e31a1c","OT",262.564084894988,43.2727165412424,295
"119",663.5715,418.4,2827,2827,10,"#e31a1c","OT",264.891253218325,46.5174782987915,295
"120",771.5085,424.74095,1090.5,1090.5,10,"#e31a1c","OT",269.88507538749,53.2475035420442,295
"121",520.195,416.61,1902,1902,10,"#e31a1c","OT",256.564380010821,36.2723722394372,295
"122",319.57515,425.0682,1154.5,1154.5,NA,"#000000",NA,94.072372731297,-129.735792631941,295
"123",891.6835,427.16665,3330,3330,10,"#e31a1c","OT",274.563494663322,59.773528109783,295
"124",472.55595,431.36515,2260,2260,10,"#e31a1c","OT",252.064601347696,32.3832920717677,295
