celltype,include,color
 8,1,#00BCD8
 4,1,#6BB100
 8,1,#00BCD8
10,0,#619CFF
10,0,#619CFF
10,1,#619CFF
 4,1,#6BB100
 0,0,#F8766D
 2,0,#C99800
Zero,0,#000000
 8,1,#00BCD8
 2,1,#C99800
 4,1,#6BB100
 5,0,#00BA38
 5,1,#00BA38
 5,1,#00BA38
 4,0,#6BB100
14,1,#FF67A4
 4,1,#6BB100
14,0,#FF67A4
 4,1,#6BB100
10,0,#619CFF
Zero,0,#000000
 8,1,#00BCD8
Zero,0,#000000
 5,1,#00BA38
 5,0,#00BA38
 4,1,#6BB100
 2,1,#C99800
14,0,#FF67A4
 0,0,#F8766D
10,0,#619CFF
 5,1,#00BA38
 5,1,#00BA38
Zero,0,#000000
 4,1,#6BB100
Zero,0,#000000
 5,1,#00BA38
 8,1,#00BCD8
 5,1,#00BA38
 4,1,#6BB100
 8,1,#00BCD8
 2,0,#C99800
 4,1,#6BB100
Zero,0,#000000
 3,1,#A3A500
 4,0,#6BB100
 5,1,#00BA38
 2,1,#C99800
Zero,0,#000000
 2,1,#C99800
 2,1,#C99800
 5,1,#00BA38
 2,1,#C99800
 5,1,#00BA38
 5,1,#00BA38
 5,1,#00BA38
 8,1,#00BCD8
 4,1,#6BB100
 0,1,#F8766D
 0,1,#F8766D
 2,1,#C99800
10,0,#619CFF
Zero,0,#000000
 8,1,#00BCD8
 4,0,#6BB100
 8,0,#00BCD8
 8,0,#00BCD8
 5,1,#00BA38
 5,1,#00BA38
 8,1,#00BCD8
 4,1,#6BB100
 5,1,#00BA38
 8,1,#00BCD8
 2,1,#C99800
 5,1,#00BA38
 8,1,#00BCD8
 5,1,#00BA38
Zero,0,#000000
Zero,0,#000000
Zero,0,#000000
 5,1,#00BA38
 8,0,#00BCD8
 2,0,#C99800
 8,1,#00BCD8
Zero,0,#000000
 5,1,#00BA38
 5,1,#00BA38
 5,1,#00BA38
Zero,0,#000000
 5,1,#00BA38
 5,1,#00BA38
 8,1,#00BCD8
 5,1,#00BA38
 2,0,#C99800
Zero,0,#000000
 3,1,#A3A500
 2,1,#C99800
 3,1,#A3A500
 8,1,#00BCD8
 2,0,#C99800
 4,0,#6BB100
 8,0,#00BCD8
10,0,#619CFF
 5,1,#00BA38
 5,1,#00BA38
 5,1,#00BA38
 8,1,#00BCD8
 0,1,#F8766D
 2,0,#C99800
 2,1,#C99800
 4,0,#6BB100
Zero,0,#000000
 5,1,#00BA38
Zero,0,#000000
 5,1,#00BA38
10,0,#619CFF
 8,0,#00BCD8
 4,1,#6BB100
 5,1,#00BA38
 5,1,#00BA38
 8,0,#00BCD8
 5,1,#00BA38
 0,1,#F8766D
14,0,#FF67A4
10,0,#619CFF
 5,1,#00BA38
Zero,0,#000000
 5,1,#00BA38
10,0,#619CFF
 2,1,#C99800
 4,1,#6BB100
Zero,0,#000000
 2,1,#C99800
14,0,#FF67A4
 8,1,#00BCD8
 2,1,#C99800
 2,0,#C99800
 8,1,#00BCD8
 5,1,#00BA38
 5,1,#00BA38
 5,1,#00BA38
 4,0,#6BB100
 5,1,#00BA38
10,0,#619CFF
 2,0,#C99800
 3,1,#A3A500
 2,0,#C99800
 4,1,#6BB100
 3,1,#A3A500
 5,1,#00BA38
10,1,#619CFF
 2,1,#C99800
10,0,#619CFF
 2,1,#C99800
 0,1,#F8766D
 3,0,#A3A500
 0,1,#F8766D
10,0,#619CFF
10,0,#619CFF
 5,1,#00BA38
14,0,#FF67A4
 5,1,#00BA38
 8,0,#00BCD8
 2,0,#C99800
 2,1,#C99800
 3,0,#A3A500
 8,1,#00BCD8
 2,0,#C99800
 5,1,#00BA38
 5,1,#00BA38
 4,1,#6BB100
 2,1,#C99800
 5,1,#00BA38
 4,1,#6BB100
 4,1,#6BB100
 2,0,#C99800
 2,1,#C99800
 8,1,#00BCD8
 4,1,#6BB100
 5,1,#00BA38
 2,1,#C99800
 4,0,#6BB100
 5,1,#00BA38
 4,1,#6BB100
 5,1,#00BA38
Zero,0,#000000
 5,1,#00BA38
 2,1,#C99800
 5,1,#00BA38
10,0,#619CFF
 5,1,#00BA38
 2,0,#C99800
 5,1,#00BA38
 5,1,#00BA38
 5,1,#00BA38
 5,1,#00BA38
 8,0,#00BCD8
 8,1,#00BCD8
 5,1,#00BA38
 8,1,#00BCD8
 5,1,#00BA38
 5,1,#00BA38
 2,1,#C99800
 5,0,#00BA38
 4,1,#6BB100
14,1,#FF67A4
 2,1,#C99800
 2,1,#C99800
 5,1,#00BA38
 2,1,#C99800
 0,1,#F8766D
 5,1,#00BA38
 5,1,#00BA38
 5,1,#00BA38
 2,1,#C99800
 8,1,#00BCD8
 8,1,#00BCD8
14,1,#FF67A4
Zero,0,#000000
 5,1,#00BA38
 5,1,#00BA38
 5,1,#00BA38
 2,1,#C99800
10,0,#619CFF
14,1,#FF67A4
 4,0,#6BB100
Zero,0,#000000
 5,1,#00BA38
 2,1,#C99800
 4,0,#6BB100
 5,1,#00BA38
14,0,#FF67A4
 5,1,#00BA38
 5,1,#00BA38
 8,1,#00BCD8
 5,1,#00BA38
 2,1,#C99800
 2,1,#C99800
 5,0,#00BA38
 2,1,#C99800
 5,1,#00BA38
 5,1,#00BA38
 2,1,#C99800
 2,1,#C99800
 2,1,#C99800
 2,0,#C99800
 4,0,#6BB100
 5,0,#00BA38
 3,0,#A3A500
 5,1,#00BA38
 2,1,#C99800
10,0,#619CFF
 5,1,#00BA38
 5,0,#00BA38
 2,1,#C99800
 4,1,#6BB100
 2,1,#C99800
 5,1,#00BA38
 5,1,#00BA38
 2,1,#C99800
 5,1,#00BA38
 8,1,#00BCD8
 2,1,#C99800
Zero,0,#000000
 8,1,#00BCD8
 5,1,#00BA38
 5,1,#00BA38
 5,1,#00BA38
 5,1,#00BA38
 3,1,#A3A500
 5,1,#00BA38
 5,1,#00BA38
 2,1,#C99800
 5,1,#00BA38
 8,0,#00BCD8
Zero,0,#000000
Zero,0,#000000
 8,0,#00BCD8
 4,1,#6BB100
Zero,0,#000000
 8,0,#00BCD8
 5,1,#00BA38
Zero,0,#000000
 8,0,#00BCD8
 3,0,#A3A500
Zero,0,#000000
 5,0,#00BA38
 2,0,#C99800
Zero,0,#000000
Zero,0,#000000
