x,y,intensity,area
1.419924e+03,1.365959e+02,nan,nan
1.676064e+03,1.371133e+02,nan,nan
1.348599e+03,1.634977e+02,nan,nan
1.739626e+03,1.648394e+02,nan,nan
1.188970e+03,2.018636e+02,nan,nan
1.102054e+03,2.077589e+02,nan,nan
1.782462e+03,2.093090e+02,nan,nan
1.729337e+03,2.173992e+02,nan,nan
1.856680e+03,2.141787e+02,nan,nan
1.267172e+03,2.234326e+02,nan,nan
1.525118e+03,2.190828e+02,nan,nan
1.614082e+03,2.178813e+02,nan,nan
1.815003e+03,2.456532e+02,nan,nan
1.489639e+03,2.493757e+02,nan,nan
1.944417e+03,2.387097e+02,nan,nan
1.694445e+03,2.400770e+02,nan,nan
1.427063e+03,2.585068e+02,nan,nan
1.576400e+03,2.652712e+02,nan,nan
1.044110e+03,2.735809e+02,nan,nan
1.639271e+03,2.810471e+02,nan,nan
1.688527e+03,2.843368e+02,nan,nan
1.288986e+03,2.871169e+02,nan,nan
1.770209e+03,2.802286e+02,nan,nan
1.345751e+03,2.934725e+02,nan,nan
9.747106e+02,2.968870e+02,nan,nan
1.226432e+03,2.903010e+02,nan,nan
1.599208e+03,3.211829e+02,nan,nan
1.137477e+03,3.087197e+02,nan,nan
1.517659e+03,3.139521e+02,nan,nan
1.770031e+03,3.265741e+02,nan,nan
1.186250e+03,3.297551e+02,nan,nan
1.435876e+03,3.356137e+02,nan,nan
1.685822e+03,3.450135e+02,nan,nan
1.900381e+03,3.342178e+02,nan,nan
1.232425e+03,3.538210e+02,nan,nan
1.018468e+03,3.524704e+02,nan,nan
1.173407e+03,3.679614e+02,nan,nan
1.915064e+03,3.955374e+02,nan,nan
9.504361e+02,3.881092e+02,nan,nan
1.758947e+03,3.879558e+02,nan,nan
1.563367e+03,3.830871e+02,nan,nan
1.108546e+03,4.008409e+02,nan,nan
1.167434e+03,4.062474e+02,nan,nan
1.847178e+03,4.143848e+02,nan,nan
1.277923e+03,4.139747e+02,nan,nan
1.677199e+03,4.215792e+02,nan,nan
1.590576e+03,4.339186e+02,nan,nan
1.211922e+03,4.318850e+02,nan,nan
1.056017e+03,4.348732e+02,nan,nan
6.792393e+02,4.502513e+02,nan,nan
1.502556e+03,4.371329e+02,nan,nan
1.289335e+03,4.650023e+02,nan,nan
1.432535e+03,4.673055e+02,nan,nan
1.146561e+03,4.637333e+02,nan,nan
1.798602e+03,4.589655e+02,nan,nan
1.094252e+03,4.867086e+02,nan,nan
1.715943e+03,4.965797e+02,nan,nan
1.188829e+03,4.825133e+02,nan,nan
1.947851e+03,4.852723e+02,nan,nan
1.876298e+03,4.886566e+02,nan,nan
1.595209e+03,4.857099e+02,nan,nan
1.337428e+03,5.057297e+02,nan,nan
1.828713e+03,5.215976e+02,nan,nan
7.323351e+02,5.167131e+02,nan,nan
1.161798e+03,5.288946e+02,nan,nan
9.922316e+02,5.231342e+02,nan,nan
1.065142e+03,5.325510e+02,nan,nan
1.801068e+03,5.475221e+02,nan,nan
1.598774e+03,5.543138e+02,nan,nan
1.943063e+03,5.516258e+02,nan,nan
1.760731e+03,5.675539e+02,nan,nan
8.859601e+02,5.732787e+02,nan,nan
1.227419e+03,5.591487e+02,nan,nan
1.297034e+03,5.784980e+02,nan,nan
1.980991e+03,5.759657e+02,nan,nan
1.673650e+03,5.906055e+02,nan,nan
1.906818e+03,5.876237e+02,nan,nan
1.359170e+03,5.902734e+02,nan,nan
7.610101e+02,6.007747e+02,nan,nan
8.144410e+02,6.201320e+02,nan,nan
1.105554e+03,6.209699e+02,nan,nan
1.614612e+03,6.522700e+02,nan,nan
1.900416e+03,6.382309e+02,nan,nan
7.056068e+02,6.432736e+02,nan,nan
1.780639e+03,6.562196e+02,nan,nan
1.066074e+03,6.575753e+02,nan,nan
1.852034e+03,6.543285e+02,nan,nan
1.549252e+03,6.556907e+02,nan,nan
1.162441e+03,6.546651e+02,nan,nan
1.227848e+03,6.571706e+02,nan,nan
1.695838e+03,6.683103e+02,nan,nan
1.495430e+03,6.726933e+02,nan,nan
1.954538e+03,6.773917e+02,nan,nan
1.373637e+03,7.015592e+02,nan,nan
1.424626e+03,7.004830e+02,nan,nan
6.422746e+02,7.123458e+02,nan,nan
1.096796e+03,7.203857e+02,nan,nan
1.468604e+03,7.274103e+02,nan,nan
8.368915e+02,7.274905e+02,nan,nan
7.828177e+02,7.369246e+02,nan,nan
1.019940e+03,7.418184e+02,nan,nan
1.740113e+03,7.512983e+02,nan,nan
7.306219e+02,7.409610e+02,nan,nan
6.845053e+02,7.479616e+02,nan,nan
1.806754e+03,7.606904e+02,nan,nan
1.663719e+03,7.608874e+02,nan,nan
9.595209e+02,7.676612e+02,nan,nan
1.392425e+03,7.816801e+02,nan,nan
8.032623e+02,8.057410e+02,nan,nan
7.261216e+02,8.044969e+02,nan,nan
1.501413e+03,7.960262e+02,nan,nan
6.440886e+02,7.881093e+02,nan,nan
4.788922e+02,8.043594e+02,nan,nan
1.570661e+03,8.089263e+02,nan,nan
5.903118e+02,8.113645e+02,nan,nan
6.707139e+02,8.328982e+02,nan,nan
1.273345e+03,8.293858e+02,nan,nan
1.223691e+03,8.191862e+02,nan,nan
1.327143e+03,8.368000e+02,nan,nan
1.543017e+03,8.494819e+02,nan,nan
1.040390e+03,8.332200e+02,nan,nan
6.391503e+02,8.501364e+02,nan,nan
1.783367e+03,8.543333e+02,nan,nan
9.451119e+02,8.627303e+02,nan,nan
1.058141e+03,8.786144e+02,nan,nan
1.165844e+03,8.669330e+02,nan,nan
1.676150e+03,8.482369e+02,nan,nan
6.101338e+02,8.858687e+02,nan,nan
1.927740e+03,8.868861e+02,nan,nan
7.935478e+02,9.015218e+02,nan,nan
1.563089e+03,9.075714e+02,nan,nan
1.383129e+03,9.112308e+02,nan,nan
1.105776e+03,9.280076e+02,nan,nan
8.763891e+02,9.356419e+02,nan,nan
1.310135e+03,9.287333e+02,nan,nan
1.006944e+03,9.353426e+02,nan,nan
1.489990e+03,9.392956e+02,nan,nan
